date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:15:40	1373/1373	---M--	200	added ('OK')	image/png	etag:%221c9c3021f9553b55b9af30aa2426585c%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/fb.png	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/fb.png	(from http://playcanv.as/css/styles.css)
19:15:41	1312/1312	---M--	200	added ('OK')	image/png	etag:%2270272a837725d66eba17f432ab6a256c%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/fb_hover.png	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/fb_hover.png	(from http://playcanv.as/css/styles.css)
19:15:42	1581/1581	---M--	200	added ('OK')	image/png	etag:%2226c0922a7c6b1e49b62fde1bead03721%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/tw.png	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/tw.png	(from http://playcanv.as/css/styles.css)
19:15:43	1447/1447	---M--	200	added ('OK')	image/png	etag:%22ad13ff10e8da4fd25077605478b52c37%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/tw_hover.png	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/tw_hover.png	(from http://playcanv.as/css/styles.css)
19:15:44	1719/1719	---M--	200	added ('OK')	image/png	etag:%2237e0632df07df2b654dbbc42c6cc2723%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/gp.png	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/gp.png	(from http://playcanv.as/css/styles.css)
19:15:44	1537/1537	---M--	200	added ('OK')	image/png	etag:%222c3f08a9e3688a03805442a18b887c22%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/gp_hover.png	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/gp_hover.png	(from http://playcanv.as/css/styles.css)
19:15:46	18060/18060	---M--	200	added ('OK')	image/png	etag:%220206d9d322d6e20d07eb6f2682920cc8%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/kik.png	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/kik.png	(from http://playcanv.as/css/styles.css)
19:15:46	18062/18062	---M--	200	added ('OK')	image/png	etag:%227a2a193c7fc159e310f2b27168304d23%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/kik_hover.png	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/kik_hover.png	(from http://playcanv.as/css/styles.css)
19:15:47	3937/3937	---M--	200	added ('OK')	image/png	etag:%22f956d63d25c0e09fbc5eea8bf060a8f7%22	https://s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/logo/PLAY_FLAT_ORANGE3_SMALL.png	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/static.playcanvas.com/images/logo/PLAY_FLAT_ORANGE3_SMALL.png	(from http://playcanv.as/css/styles.css)
19:15:47	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Thu,%2010%20Nov%202016%2003:15:44%20GMT	http://s3-eu-west-1.amazonaws.com/robots.txt		(from http://playcanv.as/p/JtL2iqIH/)
19:15:47	317/317	---M-Z	-1	error ('Error%20when%20decompressing')	text/html	etag:%22a2dd5c75635eb4d204d604439cb60cdd%22	http://s3-eu-west-1.amazonaws.com/apps.playcanvas.com/R2axJfsc/index.html	C:/My%20Web%20Sites/swooop/s3-eu-west-1.amazonaws.com/apps.playcanvas.com/R2axJfsc/index.4.delayed	(from http://playcanv.as/p/JtL2iqIH/)
19:15:48	1427/1427	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Nov%202016%2003:15:45%20GMT	https://playcanvas.com/robots.txt		(from http://playcanv.as/p/JtL2iqIH/)
19:15:49	3031/3031	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2010%20Nov%202016%2003:15:46%20GMT	https://playcanvas.com/{{favicon}}	C:/My%20Web%20Sites/swooop/playcanvas.com/{{favicon}}	(from https://playcanvas.com/)
19:15:49	21658/21658	---M-Z	200	added ('OK')	text/css	etag:%221f9e9d1a5a1d347d945ef4b7727f2ea0%22	http://netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	C:/My%20Web%20Sites/swooop/netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	(from https://playcanvas.com/)
19:15:50	242538/242538	---MCZ	200	added ('OK')	text/css	etag:W/%2258220b05-3b36a%22	https://playcanvas.com/static/platform/css/styles.css	C:/My%20Web%20Sites/swooop/playcanvas.com/static/platform/css/styles.css	(from https://playcanvas.com/)
19:15:50	57308/57308	---M-Z	200	added ('OK')	text/css	etag:W/%2258220b05-dfdc%22	https://playcanvas.com/static/platform/css/new_styles.css	C:/My%20Web%20Sites/swooop/playcanvas.com/static/platform/css/new_styles.css	(from https://playcanvas.com/)
19:15:51	1007/1007	---M-Z	200	added ('OK')	text/css	etag:W/%2258220b05-3ef%22	https://playcanvas.com/static/platform/css/error.css	C:/My%20Web%20Sites/swooop/playcanvas.com/static/platform/css/error.css	(from https://playcanvas.com/)
19:15:51	16060/16060	---M-Z	200	added ('OK')	application/javascript	etag:W/%2258220b05-3ebc%22	https://playcanvas.com/static/platform/js/common/common.js	C:/My%20Web%20Sites/swooop/playcanvas.com/static/platform/js/common/common.js	(from https://playcanvas.com/)
19:15:52	1534/1534	---M-Z	200	added ('OK')	application/javascript	etag:W/%2258220b05-5fe%22	https://playcanvas.com/static/platform/js/common/pageview.js	C:/My%20Web%20Sites/swooop/playcanvas.com/static/platform/js/common/pageview.js	(from https://playcanvas.com/)
19:15:58	83613/83613	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258220b05-1469d%22	https://playcanvas.com/static/platform/js/jquery-2.0.3.min.js	C:/My%20Web%20Sites/swooop/playcanvas.com/static/platform/js/jquery-2.0.3.min.js	(from https://playcanvas.com/)
19:15:58	55632/55632	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22581101ce-d950%22	https://js.stripe.com/v2/	C:/My%20Web%20Sites/swooop/js.stripe.com/v2/index.html	(from https://playcanvas.com/)
19:15:58	11174/11174	---M-Z	200	added ('OK')	application/javascript	etag:W/%2258220b05-2ba6%22	https://playcanvas.com/static/platform/js/angular-animate.min.js	C:/My%20Web%20Sites/swooop/playcanvas.com/static/platform/js/angular-animate.min.js	(from https://playcanvas.com/)
19:15:59	3888/3888	---M-Z	200	added ('OK')	application/javascript	etag:W/%2258220b05-f30%22	https://playcanvas.com/static/platform/js/angular-route.min.js	C:/My%20Web%20Sites/swooop/playcanvas.com/static/platform/js/angular-route.min.js	(from https://playcanvas.com/)
19:15:59	106155/106155	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258220b05-19eab%22	https://playcanvas.com/static/platform/js/angular.min.js	C:/My%20Web%20Sites/swooop/playcanvas.com/static/platform/js/angular.min.js	(from https://playcanvas.com/)
19:15:59	3279/3279	---M-Z	200	added ('OK')	application/javascript	etag:W/%2258220b05-ccf%22	https://playcanvas.com/static/platform/js/angular-resource.min.js	C:/My%20Web%20Sites/swooop/playcanvas.com/static/platform/js/angular-resource.min.js	(from https://playcanvas.com/)
19:15:59	4396/4396	---M-Z	200	added ('OK')	application/javascript	etag:W/%2258220b05-112c%22	https://playcanvas.com/static/platform/js/angular-sanitize.min.js	C:/My%20Web%20Sites/swooop/playcanvas.com/static/platform/js/angular-sanitize.min.js	(from https://playcanvas.com/)
19:16:00	4502/4502	---M-Z	200	added ('OK')	application/javascript	etag:W/%2258220b05-1196%22	https://playcanvas.com/static/platform/js/angular-gettext.min.js	C:/My%20Web%20Sites/swooop/playcanvas.com/static/platform/js/angular-gettext.min.js	(from https://playcanvas.com/)
19:16:00	25502/25502	---M-Z	200	added ('OK')	application/javascript	etag:W/%2258220b05-639e%22	https://playcanvas.com/static/platform/js/moment.min.js	C:/My%20Web%20Sites/swooop/playcanvas.com/static/platform/js/moment.min.js	(from https://playcanvas.com/)
19:16:00	55245/55245	---M-Z	200	added ('OK')	application/javascript	etag:W/%2258220b05-d7cd%22	https://playcanvas.com/static/platform/js/bootstrap.js	C:/My%20Web%20Sites/swooop/playcanvas.com/static/platform/js/bootstrap.js	(from https://playcanvas.com/)
19:16:01	68743/68743	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258220b05-10c87%22	https://playcanvas.com/static/platform/js/i18n/ja.js	C:/My%20Web%20Sites/swooop/playcanvas.com/static/platform/js/i18n/ja.js	(from https://playcanvas.com/)
19:16:02	1847/1847	---M--	200	added ('OK')	application/javascript	etag:%2257b719d5-737%22	https://msg.playcanvas.com/events.js	C:/My%20Web%20Sites/swooop/msg.playcanvas.com/events.js	(from https://playcanvas.com/)
19:16:03	37866/37866	---M--	200	added ('OK')	application/javascript	etag:%2257b719d5-93ea%22	https://msg.playcanvas.com/messenger.js	C:/My%20Web%20Sites/swooop/msg.playcanvas.com/messenger.js	(from https://playcanvas.com/)
